app,acc,enrol,ftime,ptime,instate,outstate,rbcost,bkcost,phd,sfratio,expend,grad,top10
729,625,349,1432,334,7900,7900,3400,500, ,19,6014,38, 
3306,2079,1071,10208,9310,1695,6597,2494,800,81,13.9,6722,66,42
1800,1253,560,3876,3588,1732,6634,4360,600,82,17.8,6104,47,44
417,349,137,510,63,12960,12960,5450,450,92,7.7,19016,59,60
1461,1097,580,2035,321,1772,4535,2754,675,65,17,6238,62,10
2186,1835,1263,2796,2391,2028,5604,4192,450,45,10.5,5667,88, 
4502,2497,790,2844,88,7908,7908,4238,600,63,14.9,9345,53, 
1452,1158,870,2902,1825,1422,4266, ,495,65,18.9,5513,38, 
1858,1221,480,1620,49,8050,8050,3940,350,80,16.3,10511,63,37
367,274,158,917,479,9592,9592,5879,500,71,13.7,5935,49,12
1436,1228,1202,1320,822,4371,4371,2370,500,62,12.6,4900,18,10
1348,1050,774,2873,1736,1381,2763,3375,800,61,16.5,5332,32, 
8506,4168,1236,5544,192,17600,17600,6000,600,97,5,28457,96,76
2092,1474,649,1903,221,1341,2682,2370, ,59,13.9, ,39, 
7837,4527,2276,8528,654,1899,6489,4438,795,92,19.3,11271,70,89
652,503,297,2229,1283,1341,4023,3219,465,52,17.3,6208,36, 
8388,5423,3034,11404,1007,1808,4571,2987,450,60,19.7,4830,46, 
860,716,330,1703,473,1578,4158,2415, ,50,18.1,7091,26, 
3793,2341,1238,7732,9054,2154,6744,2655,720,87,19,7762,34,9
2402,1824,1161,5438,5556,1422,2844, ,450,62,19.8,4907,21, 
544,399,177,600,363,6987,6987,3585,750,77,12.5,9067,75,15
2286,1668,564,2943,1260,11985,11985,4081,400,93,9.2,8995,91,37
3708,1678,722,2852,153,7050,7050,5490,250,71,17.8,8122,83,41
6407,1500,595,1752,125,6770,6770,4438,600,49,15.7, ,21, 
1612,1077,775,2023,316,1382,4145,2445,180,60,17.5, ,53, 
792,649,186,769,377,12900,12900,4340,600,91,13.1,8568,67,56
1322,636,225,589,97,5460,5460,2814,500,48,10.9,8967,27, 
663,562,127,641,63,5640,5640,3620,600,89,13.2,7309,31,20
1702,1448,726,2726,472,1800,3200,2145, ,60,19,5847,48,12
540,445,165,1115,111,7210,7210,3600,500,62,13.2,7356,58,23
3713,1237,443,1971,107,7000,7000,5565,660,73,12.5,9988,65,47
 , ,182,781,82,6072,6072,3636,400,48,16.8,6015,54,18
11220,7871,3320,19553,2748,1899,5697,3600,525,88,14.7,7881,63,43
3674,3247,1586,5982,1418,1770,4617,2940,600,67,20,5374,45, 
305,287,109,382,46,11500,11500,4500,515,68,7.6,11605,52,38
3668,2604,1331,4538,1179,1806,4650,2973,490,59,19.2,5687,40, 
1868,1788,829,3467,1167,1694,4457,2739,450,70,21.4,4706,52, 
407,317,181,468,31,9700,9700,3744,470,73,19,8614,56,21
1109,688,386,1897,208,8325,8325,5000,1200,14,16.1,6874,55,20
621,546,103,766,1154,10600,10600,5490,700,63,14.1,5073, , 
1038,533,428,2008,23,1780,1780,3360, ,64,16.8, , ,21
3580,2603,1627,11028,2411,1460,4460,3038,687,85,11.8,12833,54,36
1827,1409,1169,4312,2302,6300,6300,6500,500,59,23.3,5301, , 
1499,779,500,2082,871,480,2920,4270,714,72,15.8,11460,31,20
392,351,155,738,430,10260,10260,3597,600,39,13.1,8355,58,16
860,688,285,1928,442,13306,13306,3797,450,62,8.8,6333,78,32
1283,1113,401,1355,40,10938,10938,3660,650,76,13.5,8444,67,31
460,340,167,604,350,10740,10740,3676,350,67,11,7963,74,14
1006,742,275,1127,205,13925,13925,4390,500,73,12.7,10141,67,29
1538,1329,383,1140,10,15248,15248,4323,550,71,12.2,10340,64,33
604,562,328,1048,56,9800,9800,2650,450,61,12.5,7325,87,25
2799,2573,839,3322,726,13420,13420,4770,560,88,15,9473,77,34
555,414,242,996,2281,9100,9100,3100,550,51,23.6,5609,47,14
535,511,233,1098,380,9820,9820,3360,570,32,12.6,6687,32,11
2039,1389,432,1333,30,15688,15688,4618,400,88,9.5,18979,83,56
8427,7424,3441,18676,1715,2291,7550,3224,640,81,19.2,8420,65,26
443,291,127,563,427,9850,9850,3400,500,45,17.2,7349, ,11
1641,1283,527,1663,170,11200,11200,4000,500,61,14.2,7578,70,20
1549,1392,587,2269,85,13240,13240,3560,600,73,13.8,8949,77,38
328,243,93,663,340,9980,9980,3640,500,44,12.3,7791,69, 
586,533,239,950,228,10520,10520,3678,500,48,13,8111,56,16
368,317,159,806,542,10500,10500,3555,500,44,11.3,6695,64,20
325,284,95,364,88,9900,9900,3650,500,32,13.6,6525,21,16
860,811,366,1040,52,9900,9900,3075,300,68,14.9,6357,68,22
1016,872,300,1116,602,11250,11250,4980,550,66,15.8,7411,70,27
897,718,276,1345,390,10450,10450,4020,500,56,14.1,7444,70,12
4144,3379,1853,10135,1448,2291,6197,2930,595,78,16.3,6333,77,18
576,558,137,662,131,10430,10430,3620,400,85,16.5,8767,45,11
9224,8025,3262,15412,2878,2291,8149,3423,640, ,13.1,12194,62,23
663,452,192,1481,1160,8840,8840,3060,500,69,17.4,3733,78,10
1231,1074,345,1295,105,11600,11600,3610,400,66,12.4,7735,67,34
451,306,123,611,146,9980,9980,3640,600,46,12, ,51,10
326,294,140,630,107,10000,10000,3110,495,35,13.3,7057,40,10
3619,3080,1888,7948,5040, ,2093,3069,600,59,17,5705,25, 
587,479,158,678,41,13500,13500,3335,500,67,9.4,9727,55,38
1989,1627,1137,6547,2464, ,4500,2980,500,67,16.5,6266,33, 
1001,551,428,1970,1256,1412,5120,3190,908,60,12.1,6997,44, 
616,514,385,1115,60,9840,9840,2820,450,59,14.8,6261,58,29
3133,2799,1337,7242,1431,1548,5962,3540,832,82,13.5,8805,45,24
1879,1658,497,1950,38,13353,13353,4173,540,78,12.7,9220,71,36
532,481,127,815,801,10250,10250,3850,550, ,9.1,8358,56, 
261,192,111,453,266,9690,9690,4300,500,57,9.7,9337,71,15
500,336,156,421,27,6500,6500,2700,500,76,14.3,8377,51,25
3767,3414,1061,4531,643,10870,10870,4440,2000,75,14.4,7671,85,30
422,305,160,781,240,9810,9810,4160,400,52,17.5,9729,80,30
2419,2160,1117,4852,1991,7310,7310,4350,500,18,13.4,5682,41, 
528,403,186,1168,145,9216,9216,4191,400,56,12.1,7309,75,22
4815,3551,1227,6069,3719,11214,11214,4932,600,69,16.1,8322,63,30
5597,4253,1565,9161,845,1902,5710,3066,120,62,16.2,5682,76,12
560,454,113,484,16,10955,10955,3450,330,62,10.6,9552,53,36
510,387,194,771,53,10310,10310,4530,400,57,14.3,8222,60,20
894,787,262,909,28,8050,8050,3850,600,75,15.6,7348,52,28
1756,1360,478,1911,626,14550,14550,4620,500,80,12.3,12851,56,42
8681,6695,2408,15701,1823,2600,7799,3403,537,77,21,5569,54,10
2086,1507,631,4056,3433,1902,5706, ,552,78,15.1,6453,21,14
3553,1719,777,4543,2694,1848,5544, ,650,47,15.6,6195,18,12
3050,1342,471,1818,23,14360,14360,4090,400,77,12.9,9605,83,55
313,228,137,552,67,9414,9414,4554,500,34,10.6,7840,56,10
150,150,121,338,33,6900,6900,4851,800,24,15.9,8812,80,15
1040,845,286,967,24,15747,15747,4062,400,88,12.7,13224,79,48
979,638,271,968,20,16880,16880,3970,920,91,10.7,15687,77,31
1154,1050,395,2192,1423,10560,10560,4520,500,36,14.3,7701,61,12
3579,2959,868,5244,3417,11500,11500,5330,700,94,6.2,13009,65,25
740,558,177,628,63,9620,9620,3750,550,49,10.8,10642,59,12
1002,555,119,836,684,7680,7680,3740,500,70,17.7,6652,52,16
1444,1261,456,1788,95,11910,11910,4378,450,60,11.4,8149,75,29
601,503,204,671,11,13000,13000,4100,400,91,11.6,11087,56,28
513,347,279,2508,505,9090,9090,4500,650,62,18.3,7905,71,23
1127,884,308,1310,766,11718,11718,7398,450,73,16.4,8871,76,30
465,361,176,879,156,12580,12580,4345,400,76,13.1,10889,74,19
10706,7219,2397,14826,1979,2600,7799,3296,470,73,17.3,6086,56,12
12289,5200,1902,7450,45,16404,16404,5520,759,96,6.8,26385,92,85
678,640,388,1503,293,7700,7700,4140, ,39,14.6, ,54, 
205,179,129,570,22,12816,12816,5344,1125, ,9.6,16506,90,13
1025,707,297,1070,72,10100,10100,4140,450,69,16.3,6880,80,22
591,505,196,907,364,12305,12305,4066,800,57,12.3,8695, ,15
422,367,218,1700,2902,8580,8580,5100,600,75,12.2,8995,77,13
434,321,141,624,269,10950,10950,4600,550,79,12.9,9264,81,28
 , ,2158,16961,2499,2318,6953,3256,600,71,14.9,9158,44, 
2540,2195,994,6063,2550,1824,5472,3598,221,76,16.5,7498,43,13
607,558,269,1222,519,10500,10500,4348,650,81,11.6,8324,75,22
785,647,295,1670,726,10860,10860,4624,600,87,13.7,8953,55,15
746,473,317,834,50,9600,9600,4110,600,54,21.9,5252,28,39
6348,2999,922,3340,39,18930,18930,6380,500,99,5.3,36854,90,68
14939,11652,5705,25422,911,2760,7560,4574,500,87,17.4,8559,81,52
8384,5727,2710,13518,2916,2520,7230,5088,630,82,10,13883,34,22
6491,5027,1563,9015,1449,1902,5706,3193,600,77,17.2,6566,55,6
1432,920,548,2200,56,11480,11480,4200,530,81,12.7,11916,85,56
1216,908,423,1819,281,10100,10100,3520,550,48,12.1,7994,59,19
9361,7910,3849,16148,2207,2864,7244,3608,500,69,17.7,7449,51,38
495,415,267,733,402,9300,9300,3000,500,51,14.6,6392, ,15
2362,2037,700,2607,148,13130,13130,4650,500,77,10.9,9511,83,40
1994,1656,495,1983,36,14300,14300,5020,550,78,11.1,11525,82,50
1358,1006,274,1028,13,15036,15036,4056,600,90,10.6,14634,78,35
2096,1626,694,2551,407,11800,11800,4340,700,60,15.8,7780,77,35
804,632,281,840,68,10390,10390,4040,525,54,12.5,11751,60,29
440,396,221,910,166,9420,9420,3730,600,51,9.9,10270,72,26
548,428,167,618,113,8958,8958,3670,300,53,15.3,9798,64,18
1006,837,317,1024,15,8200,8200,3485,500,84,10.6,9248,64,33
450,430,125,488,43,9950,9950,3920,300,76,11.8,9466,47,20
1487,1276,388,1417,1646,11120,11120,4080,525,55,11.1,6735,69,26
1052,810,167,477,602,8120,8120,3790, ,40,15.4,6111, ,7
2379,2133,1292,4283,2973,2040,4973,3192,500,56,22,4078,38,8
16587,13243,5873,24763,2717,2984,9766,3990,600,77,21.3,8686,68,25
814,814,616,988,1356,2369,6140, ,570,52,13.8,5153,24,6
2464,2306,1714,4981,5917,2090,5170, ,500,67,16,4843,41,7
4630,3655,2301,9216,11176,2766,8490, ,600,69,10.4,12803,25,5
1108,1086,723,1139,2070,2369,6140, ,660,60,14.7,6303,23,4
1572,1241,907,2699,2611,2369,6140, ,500,56,18.2,4635,33,5
1500,1250,980,2761,3341,2412,6594, ,600,69,14.4,5378,33,10
1265,1256,911,2728,2660,2369,6140, ,500,76,16.7,4546,33, 
1004,802,239,909,51,10440,10440,3850,525,63,11.8,7940,64,23
770,542,238,923,427,9990,9990,3822,450,38,10.4,7799,61,15
735,423,366,2448,707,9210,9210,3782,700,49,39.8,6562,34,20
495,465,275,695,193,7620,7260,2984,740,41,11.5,5514,62,18
21804,18744,5874,26213,4065,2884,9556,3990,570,86,18.2,8604,67,29
 , , ,3831,4186,2374,5521, ,490, , , , , 
3320,1840,381,1320, ,13380,13380,4206,600,91,13.6,13550,97,73
213,166,85,513,247,8670,8670,3820,450,43,12.5,7440,48,13
920,684,225,815,222,11200,11200,4250,600,55,14.8,7360,67,24
225,203,176,470,627,3960,3960, , ,37,10.6,4119, ,13
150,130,88,341,768,10300,10300,4130,500,44,10.2,9678,75,23
888,734,393,1433,27,12730,12730,4514,500,74,9.9,11165,98,26
69,44,36,118, ,6004,6004,4226,400,67,4.9, , ,30
1769,1092,437,1757,81,10965,10965,4000,450,60,14.2,8294,98,41
1262,1102,276,978,98,9456,9456,4350,468,53,12.8,7603,65,14
7700,3700,1906,7671,30,16850,16850,4400,600,96,13.1,13936,97,79
2075,1727,520,2501,198,11800,11800,3260,500,87,14.2,9681,95,49
800,623,256,801,5,12925,12925,4195,500,78,9.9,14904,72,41
5659,4761,3147,8596,1949,2802,6892,3706,600,72,16.6,6996,40,10
602,483,206,958,466,8620,8620,4100,400,58,11,6136,65,21
878,816,200,706,62,8740,8740,3363,550,62,11.6,7718,48,16
202,184,122,537,101,8540,8540,3580,500,61,8.8,8324,56,19
1363,1363,806,3640,706,1734,4869,2950,500,65,18.1,5804,44, 
358,276,172,838,122,8516,8516,3130,650,55,25,4962,49,5
1419,1313,813,4469,499,1778,5424,3000,300,52,23.2,1834,58,11
1256,1256,853,3957,588,1729,5401,3144,450,72,19.3,5527,50,43
5880,4075,2833,14914,2246,1713,6995,3120,600,76,18.5,6122,54,25
589,575,148,474,258,8400,8400,3250,500,63,12.4,6535,68,16
420,293,93,336,80,7950,7950,3750,600,54,9.8,9754,48,11
607,388,236,538,36,7250,7250,3245,400,47,14.5, ,46,8
213,155,75,504,147,7200,7200,3532,550,56,11.8,7818,52,28
273,229,66,439,415,7800,7800,3880,800,50,8.2,7364,53,25
479,373,127,631,133,8280,8280,3260,500,50,16.1,10049,36,20
257,183,109,396,38,7850,7850,3410,400,55,10,7233,53,19
8579,5561,3681,17880,1673,1650,6994,3384,700,88,13.7,9657,57,25
1100,1078,560,3157,2705,2790,4774,3210,450,82,13.8,5828,53, 
2901,2236,896,6550,5083,1650,6994,3299,450,82,20.4,5950,32, 
