"app","acc","enrol","ftime","ptime","instate","outstate","rbcost","bkcost","phd","sfratio","expend","grad","good"
995,789,398,1306,122,6230,6230,3526,400,42,13,8189,63,0
727,693,286,1063,48,8000,8100,3950,550,73,13.3,7508,55,0
1636,952,424,1544,896,1340,4120,2682,510,60,15,8372,19,0
584,497,175,662,121,8000,8000,4150,500,57,11.3,7058,62,0
2225,1910,1190,5968,955,1580,4738,3110,700,72,20.2,5972,52,0
404,400,169,797,100,6000,6000,3000,500,48,13.4,5557,61,0
484,384,177,634,78,7800,7800,2950,500,60,14.1,6864,64,0
4777,3057,1823,9844,6198,2180,6540,3600,530,84,11.1,10207,31,0
4847,3518,1900,6567,261,1044,1044,1306,500,46,24.6,5034,58,0
2397,2144,1525,6720,1822,2262,3957,2325,618,66,20,4546,45,0
5996,4993,3079,16269,3757,2625,5925,2980,600,83,15.9,6741,37,0
1891,1698,719,2740,761,11100,11100,5870,600,77,11.7,9456,53,0
1420,1093,220,1018,287,8700,8700,4780,450,78,14.7,7355,69,0
350,283,82,367,406,10800,10800,4835,500,45,11.7,5982,82,0
2135,1700,491,1708,689,12000,12000,5920,500,93,13.8,7100,88,0
1981,1541,514,1927,1084,12500,12500,6200,375,73,16.8,8707,80,0
3466,2330,640,3095,1533,13800,13800,5510,630,87,17.5,10941,82,0
443,330,151,453,42,14080,14080,6270,500,57,10.2,15387,46,0
2887,2059,457,1928,296,17500,17500,4200,500,94,10.5,11951,79,0
245,208,125,544,436,11800,11800,4765,450,71,11.3,8952,86,0
1224,936,283,891,332,13600,13600,5450,600,39,8.7,11992,58,0
516,409,200,1238,30,8770,8770,3500,450,58,17.3,6430,70,0
674,565,282,1151,39,12200,12200,4070,400,73,14.2,9226,66,0
244,198,82,1134,336,11700,11700,5300,550,71,27.8,8694,58,0
3986,3026,1093,5740,4182,4694,9838,4164,500,81,16.1,7607,53,0
4915,3340,1064,5356,1502,1408,5542,3991,500,73,17.1,4666,51,0
1563,1005,240,1380,136,1408,5542,4330,500,65,14.2,6562,57,0
3100,2150,825,3234,941,1408,5542,3788,500,75,15.7,4222,65,0
2197,1515,543,3089,2029,2663,6797,3900,500,60,21,4469,40,0
427,385,143,581,533,12700,12700,5800,450,81,10.3,11758,84,0
1003,782,295,1144,160,16160,16160,6950,500,74,8.9,14086,79,0
3347,2597,1006,4664,1630,1836,6919,4500,500,74,15,7462,56,0
3646,2300,585,2022,926,12170,12170,6172,480,79,13,7495,97,0
1650,1471,409,1803,1116,8994,8994,5500,498,74,15.4,8409,59,0
100,90,35,282,331,8400,8400,2812,300,10,12.1,7976,52,0
1301,957,101,514,466,9500,9500,3450,700,47,13.9,9431,63,0
4076,3137,738,3010,184,12990,12990,6300,600,86,14.7,9448,80,0
5892,3034,1358,4517,745,1794,4136,4640,550,80,18.2,6867,29,0
1321,1159,328,1243,79,12850,12850,6200,550,77,12.8,8536,80,0
4216,2290,736,4296,1027,2328,5130,4690,600,73,17.9,5125,56,0
14292,10315,3409,19340,3991,2919,8723,5146,550,89,18.1,9021,63,0
4269,2594,985,6476,2592,3338,8594,4408,494,82,18.4,7618,55,0
461,381,235,974,503,2700,6600,3630,400,67,15.2,6408,35,0
1208,803,438,1906,344,2790,6810,3970,450,67,15.9,5712,59,0
225,168,104,467,174,1968,4800,3395,500,65,15,5632,38,0
723,652,361,951,706,7800,7800,4000,350,36,22,4923,84,0
1209,750,265,820,159,11450,11450,5045,900,72,11.4,9718,64,0
833,682,217,716,2196,9985,9985,5180,500,53,27.2,4322,85,0
356,312,139,388,412,8850,8850,4450,600,29,21.8,5001,75,0
5260,4589,1741,7366,1795,3085,7975,4385,500,93,14.5,7379,56,0
441,369,172,633,317,2700,6600,3680,600,46,15.1,5935,64,0
1428,1097,336,1036,99,11250,11250,3750,400,53,12.9,8735,54,0
1130,704,322,1586,326,9996,9996,3090,900,62,11.5,10908,46,0
619,516,219,1251,767,11208,11208,4124,350,55,12.7,6584,65,0
1784,1512,913,3401,136,10230,10230,3710,400,75,14.8,7786,81,0
5165,3887,1561,8234,2619,2422,6108,3800,500,64,20.6,5063,57,0
867,695,312,2176,2063,6759,6759,2250,700,40,15.8,4727,45,0
440,391,231,1367,2662,5040,5040,4152,395,54,14.7,5518,57,0
1406,1169,522,2432,592,3312,6456,4186,500,47,19.9,4310,51,0
3041,2581,1173,6441,3982,3123,9114,4030,400,88,19.7,6637,53,0
464,419,183,686,287,9240,9240,3880,475,29,7.2,9431,47,0
372,362,181,1501,353,8600,8600,3550,385,48,15.4,10938,49,0
927,731,415,2149,2217,11130,11130,3996,600,72,13.5,10891,51,0
9167,7191,2738,15739,4278,2785,6940,4100,500,80,24.7,5983,55,0
662,513,257,2074,726,11902,11902,4372,540,65,12.8,7836,58,0
1208,877,546,3796,824,2133,4425,2700,660,57,19.6,3752,46,0
938,864,511,1715,103,12247,12247,4221,500,70,13.1,8847,72,0
511,411,186,1692,562,12224,12224,4440,450,63,11.5,7315,77,0
672,596,278,1350,275,11844,11844,3696,450,54,11.6,8996,72,0
2057,1807,828,4106,982,11712,11712,4037,500,80,13.8,8546,89,0
281,266,139,1049,181,10500,10500,3750,450,69,12.8,6955,45,0
3073,2672,1547,9649,1792,2600,4300,2643,450,57,19,5801,68,0
2442,2164,1189,5983,1075,2134,4426,2664,600,76,18.1,4795,60,0
1047,938,511,2091,546,2285,4285,2750,600,58,16.5,6591,51,0
3971,3306,1921,11493,2206,2270,4259,2625,350,70,18.9,4629,58,0
933,800,444,1691,72,12247,12247,4081,500,76,12,9853,70,0
876,802,367,1263,118,10800,10800,3600,400,68,18.8,5081,78,0
4192,3126,1656,5887,1254,2994,8828,3474,753,79,19,6393,53,0
3325,2047,1301,5800,872,2200,4200,2700,300,53,20.2,5318,58,0
373,298,86,651,490,8950,8950,3800,500,57,10.6,6639,54,0
633,504,210,920,148,7780,7780,3370,600,50,15.1,6850,49,0
4681,4101,1436,8094,1596,2310,4620,3288,300,69,19.7,5501,50,0
314,158,132,690,5346,8294,8294,3700,400,87,15.3,5015,37,0
1576,1110,274,992,112,8000,8000,3700,400,51,14.1,5807,51,0
291,245,126,981,337,8390,8390,4100,350,45,21.5,4607,62,0
810,484,356,2155,191,9200,9200,4800,1000,65,24.1,3480,100,0
549,397,169,1343,1751,9250,9250,4550,425,52,13.1,5925,61,0
1576,1326,913,3689,2200,1920,3840,2852,200,52,20.3,4172,100,0
1310,983,316,1057,175,8550,8550,5050,400,35,17.4,4333,27,0
1887,1870,848,3615,1446,1998,3900,2611,500,54,19,4602,40,0
2729,2535,1257,4787,472,2130,3735,3136,250,62,21.7,5284,54,0
270,225,65,3440,4103,3750,3750,3900,700,39,18.4,3019,49,0
935,858,345,1127,754,9490,9490,4100,500,60,10.7,7519,79,0
2281,1870,1408,6553,1246,2550,4680,3540,200,75,17.1,5916,45,0
1093,1093,642,1770,967,7070,7070,2500,400,52,15.9,4718,71,0
6118,5254,3204,13131,3374,2370,4740,2590,500,70,19.9,4632,56,0
450,405,194,614,388,13900,13900,5200,450,46,10.9,9995,59,0
1618,1141,479,4793,4552,2424,7246,3964,500,71,13.4,6433,48,0
665,462,226,1739,1550,9160,9160,4340,500,68,20.6,6951,48,0
662,553,184,665,37,10720,10720,4050,600,66,12.5,7925,62,0
469,435,227,851,120,10535,10535,4365,550,39,12.9,7438,52,0
967,945,459,2806,538,1812,4528,1880,500,49,17.1,5113,58,0
480,405,380,1673,1014,2244,4386,2217,600,49,15.8,5704,63,0
4255,3277,1609,10094,1621,4946,9866,3084,480,77,15.9,6223,53,0
2800,1090,580,2124,199,2164,4306,2100,275,43,18.6,4955,56,0
1328,673,282,1006,174,4000,4000,2048,225,44,19.6,5103,49,0
3280,578,311,1120,33,5010,5010,2570,500,53,14.5,6481,53,0
3844,3383,1669,7524,804,1996,4916,3810,600,81,20.3,6971,53,0
2850,2044,1046,9260,1387,2392,4652,2470,500,78,18.7,5917,45,0
529,492,261,1093,322,8650,8650,3815,390,49,14.1,5862,58,0
931,912,596,2482,868,2142,5866,3300,600,70,18.5,5105,40,0
3500,2836,1779,8730,993,1576,5552,3710,550,75,17.6,6324,37,0
560,392,270,743,118,8734,8734,3362,600,56,11.3,6422,68,0
4809,3089,1429,6162,871,740,6806,1780,600,72,16.7,7090,44,0
7313,4664,1910,9940,1035,740,6806,2540,96,83,18.3,5854,70,0
771,643,229,1135,505,7420,7420,3440,500,55,13.7,5930,67,0
632,494,129,709,131,9000,9000,4850,300,78,13.2,7550,52,0
2087,1339,657,3191,1204,7550,7550,2790,600,77,21.8,3739,63,0
1083,880,291,915,80,9270,9270,4100,600,75,13.5,8425,55,0
9274,6362,2435,13171,1687,764,7248,3240,500,74,13.2,9002,58,0
1531,827,405,1630,143,556,5030,2648,170,68,14.1,8994,51,0
3624,2786,858,2933,334,9100,9100,3883,490,70,18.9,6329,63,0
1455,1064,452,2632,617,740,6806,2550,350,75,15.1,6972,24,0
1110,930,332,1603,374,8180,8180,4270,500,65,15.2,5664,29,0
608,494,176,649,314,8330,8330,3770,550,64,13,7949,39,0
1202,1054,326,1410,299,13404,13404,5160,450,78,15.6,9114,65,0
1412,1149,347,2045,359,7550,7550,4050,600,55,17.8,4947,62,0
979,743,259,1188,166,10100,10100,4000,400,88,12,8539,66,0
900,473,217,621,11,4400,4400,3400,800,53,10.4,9268,92,0
1056,873,385,1111,244,6950,6950,3550,600,60,11.9,6786,69,0
857,772,376,1721,470,6720,6720,3250,450,77,13.9,6881,82,0
263,223,103,316,20,8438,8438,3372,500,42,11.1,11989,15,0
812,689,195,646,84,8242,8242,4230,600,77,12.7,10090,52,0
944,774,440,2174,529,628,6360,2760,550,77,15,6443,48,0
838,651,159,654,162,8640,8640,3700,400,62,12.2,7634,48,0
335,284,132,534,216,10475,10475,6300,500,68,11.2,9599,60,0
5803,4441,1730,10099,3255,764,7248,3109,600,79,16.8,6227,62,0
5191,4134,1500,7532,1847,931,8677,3505,600,75,15.5,7392,53,0
440,311,112,466,7,10000,10000,3052,400,65,11.4,9430,63,0
3224,2519,1057,5000,706,718,6390,2380,110,67,14.6,6554,55,0
6071,3856,1449,6635,1145,1492,7558,3680,500,82,19.1,6005,55,0
1239,1017,383,1207,157,7820,7820,3400,550,69,13.9,7264,91,0
434,412,319,1376,237,1681,4486,2146,600,50,16.5,4525,46,0
659,601,342,1476,282,6490,6490,2660,500,26,18,4460,48,0
233,233,153,658,58,1680,4486,2516,600,68,15.7,6971,51,0
2777,2249,1652,8334,1435,2110,5634,2703,450,97,15.9,9424,49,0
368,344,212,863,189,1606,4286,2570,600,39,14.9,4958,40,0
2968,2297,1610,7368,1128,2310,5834,2744,600,79,17,6310,42,0
1024,1024,547,1830,490,1575,2670,2668,500,62,25,4895,80,0
305,230,107,503,801,9000,9000,3500,400,23,8.9,6696,47,0
440,434,252,764,38,7896,7896,3270,450,54,11.1,7589,80,0
504,482,185,550,84,9130,9130,3322,450,46,12.6,8686,54,0
793,709,244,1022,411,9570,9570,3000,400,67,15.1,6852,60,0
817,708,262,935,37,9376,9376,3272,500,57,13,7335,52,0
701,501,458,959,457,1432,2580,2624,500,48,20.1,4870,44,0
1373,1373,724,2754,474,1500,2700,2660,540,60,20.3,4550,52,0
5187,4471,446,1818,1197,13320,13320,4630,500,50,17.6,6418,51,0
379,324,107,500,311,9990,9990,4900,400,44,12.1,4948,33,0
484,386,141,590,1196,9870,9870,4860,600,59,12.2,6744,81,0
2095,1553,514,1873,94,12950,12950,5400,450,70,14.5,6719,97,0
9750,7640,2529,10358,1338,3550,11180,3862,650,89,17.5,7855,75,0
3121,2446,822,3480,776,2590,7870,4157,500,73,16.1,6195,61,0
585,508,153,460,536,12292,12292,4934,500,61,22.2,8643,72,0
1011,604,213,693,868,8900,8900,4600,425,87,13.9,7922,55,0
369,312,90,396,526,11400,11400,5400,500,41,9.5,9583,24,0
348,281,127,1095,785,9150,9150,3950,500,56,12.2,7348,76,0
3820,1431,695,5303,3942,2342,4356,4830,800,76,22.1,7252,51,0
2957,1423,691,3817,1394,2798,3946,4800,400,63,14.9,8367,26,0
2707,1881,478,1893,847,12480,12480,5290,530,70,14.2,9492,54,0
5220,2128,865,6411,3186,2400,3648,4834,700,82,21.5,6717,58,0
1879,1216,483,3311,1646,4188,8832,5376,700,92,13.5,12529,72,0
3344,2322,1105,6804,3933,1965,2875,3840,600,76,17.2,6001,40,0
5485,2662,1108,5938,2298,2385,3135,4170,300,77,23.5,6391,38,0
3586,2424,730,2748,1309,13250,13250,5420,700,84,12.3,11299,70,0
5785,2690,499,4005,1886,3640,7410,4748,690,90,17.4,11878,58,0
4576,3565,1000,4384,1530,12000,12000,6484,650,81,14.4,10080,64,0
1606,1413,530,1921,1154,9408,9408,5520,500,78,12.1,7669,53,0
3366,1752,232,2585,1300,3641,7411,4748,690,90,18.6,10134,57,0
3148,1616,504,3553,3152,11010,11010,5400,623,77,16.7,9637,60,0
2088,957,362,2745,1938,3227,4449,4860,600,74,17.8,7333,47,0
4019,1579,710,4365,765,2288,3040,4351,711,78,19.5,5599,64,0
546,447,189,873,683,11138,11138,4138,600,40,14,8820,80,0
77,61,27,352,147,3120,3120,3382,400,24,14.3,3190,20,0
777,649,406,1630,384,1392,5148,2380,400,72,17.4,7664,28,0
3871,3349,1891,12257,5264,1884,7115,3516,584,91,14.3,8209,34,0
2186,1924,512,2683,1227,12280,12280,6450,750,29,12.2,10527,56,0
1011,829,410,1059,2458,9000,9000,3100,450,77,12.4,11178,42,0
2853,2193,753,2978,434,10750,10750,5340,400,90,14.6,7972,64,0
946,648,177,707,432,11790,11790,5770,500,75,11.9,10015,83,0
983,664,249,1698,894,9990,9990,5666,800,66,14.3,6084,64,0
866,619,157,1074,336,8920,8920,4310,680,68,14.6,6898,46,0
360,329,108,756,863,8310,8310,5500,600,43,12.7,5480,54,0
1457,1045,345,1109,502,14990,14990,4980,450,77,21.5,7502,64,0
4200,2874,942,4740,1646,14235,14235,6965,600,86,14.4,10864,80,0
2083,1725,430,1464,67,17480,17480,4780,500,75,12.3,11625,73,0
2688,2081,500,1792,5,19029,19029,5841,600,99,12.1,13040,79,0
7428,5860,1349,6534,1350,11600,11600,5920,1000,81,13.9,10093,60,0
949,786,302,1210,26,9990,9990,3550,500,85,15,8187,67,0
4892,3530,913,3906,1446,10690,10690,6790,570,66,16,8107,66,0
7259,5526,1368,5612,166,14424,14424,6192,634,58,11.5,9812,75,0
461,381,174,738,55,9600,9600,4550,600,55,13.3,7863,51,0
1470,1199,425,1820,558,11040,11040,4840,400,89,13.3,8118,94,0
2432,1730,563,2578,254,12370,12370,6800,500,92,13.6,10062,79,0
962,750,212,830,150,14700,14700,6550,450,97,11.3,11291,70,0
4731,3171,830,3557,658,10700,10700,5925,550,74,17.6,8408,69,0
478,327,117,731,370,11510,11510,6450,575,71,10.3,10502,77,0
695,535,239,988,785,10200,10200,7000,350,63,11.7,10622,68,0
1170,695,238,1170,429,7470,7470,4600,250,74,15.3,6898,88,0
460,283,160,508,34,7950,7950,3810,600,35,11.6,9685,55,0
4293,2728,591,2322,263,18710,18710,5970,500,87,12.7,14837,81,0
2961,1932,628,2669,616,10800,10800,5100,575,71,14.1,8189,100,0
1489,1313,375,1688,131,10456,10456,4927,500,91,17.7,9828,78,0
1368,1064,354,1687,677,10570,10570,5600,400,86,14.5,7908,66,0
861,609,215,1117,815,8650,8650,5700,500,69,16.1,6534,67,0
7294,3564,904,5758,1363,2650,6550,4460,500,79,19,6632,49,0
5318,3515,1025,7626,2091,2650,6550,4040,550,71,18.7,7511,42,0
4877,2798,814,4123,298,2650,6550,4420,620,82,16.3,6442,66,0
8000,4556,1464,6943,869,2650,6550,4810,500,69,22,5280,63,0
5549,3583,853,5004,475,2650,6550,4176,600,80,17.9,6174,65,0
3150,2289,650,3598,234,2650,6840,4660,500,71,15.1,6436,59,0
1416,1015,417,1324,117,13500,13500,5800,585,67,13.2,9006,75,0
2119,1264,390,2478,1441,2650,6550,4760,1125,80,14.9,8170,46,0
1454,1267,424,1874,757,11431,11431,4684,600,43,17.4,9090,66,0
1690,1366,662,2718,1460,10995,10995,4410,1000,68,17.6,8086,85,0
692,514,209,760,81,9900,9900,3990,400,76,13.3,9073,58,0
9251,7333,3076,13699,1213,3070,7452,3352,600,81,21.1,6918,67,0
1307,1090,616,2196,82,7344,7344,4410,570,50,15.3,6897,64,0
798,620,238,1165,1232,9800,9800,4430,400,46,11.1,6889,100,0
553,452,228,1301,242,9650,9650,4400,600,57,14.9,6336,83,0
2100,1883,553,1704,1,16240,16240,4690,500,84,11.1,14140,69,0
571,461,174,645,283,10850,10850,3670,400,58,12.8,7505,56,0
738,687,241,964,242,13780,13780,4410,500,68,12.5,9268,65,0
2421,2109,820,3168,392,11700,11700,5550,600,89,14.5,7738,89,0
874,758,428,1605,246,9858,9858,3700,450,42,17.6,4796,55,0
1611,960,342,1089,210,13850,13850,3920,470,80,13.2,10223,96,0
1310,1086,458,1365,144,12250,12250,3530,400,85,16.7,7215,81,0
1109,922,375,1115,70,13240,13240,3914,600,73,13.4,9333,73,0
11023,8298,3183,14861,1310,3552,7629,4095,550,79,20.4,8811,64,0
1496,1205,428,1648,936,12888,12888,4440,420,62,13.9,8802,87,0
845,734,254,662,351,7600,7600,3800,600,59,19,5096,39,0
6855,5553,2408,11036,2011,3234,8907,4697,556,89,10.8,13889,54,0
6361,5293,1507,5889,665,11380,11380,4220,500,81,14.8,8894,93,0
325,260,86,699,717,9600,9600,4202,450,39,10.5,7164,68,0
